Runtime,Computationaltime,Backtracks
0 days 00:00:07.561964,0 days 00:00:07.555548,0
0 days 00:00:07.569862,0 days 00:00:07.562746,0
0 days 00:00:07.576989,0 days 00:00:07.570561,0
0 days 00:00:07.584766,0 days 00:00:07.577811,0
0 days 00:00:07.591982,0 days 00:00:07.585483,0
0 days 00:00:07.600082,0 days 00:00:07.592874,0
0 days 00:00:07.607672,0 days 00:00:07.600952,0
0 days 00:00:07.616386,0 days 00:00:07.608700,0
0 days 00:00:07.623833,0 days 00:00:07.617122,0
0 days 00:00:07.630899,0 days 00:00:07.624520,0
0 days 00:00:07.638647,0 days 00:00:07.631770,0
0 days 00:00:07.645743,0 days 00:00:07.639245,0
0 days 00:00:07.653719,0 days 00:00:07.646656,0
0 days 00:00:07.660820,0 days 00:00:07.654364,0
0 days 00:00:07.668688,0 days 00:00:07.661653,0
0 days 00:00:07.675862,0 days 00:00:07.669345,0
0 days 00:00:07.683043,0 days 00:00:07.676588,0
0 days 00:00:07.690596,0 days 00:00:07.683758,0
0 days 00:00:07.697754,0 days 00:00:07.691289,0
0 days 00:00:07.706428,0 days 00:00:07.698739,0
0 days 00:00:07.713626,0 days 00:00:07.707100,0
0 days 00:00:07.722463,0 days 00:00:07.714579,0
0 days 00:00:07.730026,0 days 00:00:07.723257,0
0 days 00:00:07.738531,0 days 00:00:07.730847,0
0 days 00:00:07.745797,0 days 00:00:07.739168,0
0 days 00:00:07.753545,0 days 00:00:07.746573,0
0 days 00:00:07.760961,0 days 00:00:07.754171,0
0 days 00:00:07.768923,0 days 00:00:07.761823,0
0 days 00:00:07.776081,0 days 00:00:07.769617,0
0 days 00:00:07.784044,0 days 00:00:07.776946,0
0 days 00:00:07.791136,0 days 00:00:07.784695,0
0 days 00:00:07.799486,0 days 00:00:07.791964,0
0 days 00:00:07.806655,0 days 00:00:07.800144,0
0 days 00:00:07.813964,0 days 00:00:07.807418,0
0 days 00:00:07.821486,0 days 00:00:07.814734,0
0 days 00:00:07.828492,0 days 00:00:07.822071,0
0 days 00:00:07.838111,0 days 00:00:07.829524,0
0 days 00:00:07.845814,0 days 00:00:07.838956,0
0 days 00:00:07.853354,0 days 00:00:07.846575,0
0 days 00:00:07.860251,0 days 00:00:07.854013,0
0 days 00:00:07.868243,0 days 00:00:07.861021,0
0 days 00:00:07.875265,0 days 00:00:07.868897,0
0 days 00:00:07.882775,0 days 00:00:07.875991,0
0 days 00:00:07.890539,0 days 00:00:07.883530,0
0 days 00:00:07.897864,0 days 00:00:07.891231,0
0 days 00:00:07.906003,0 days 00:00:07.898684,0
0 days 00:00:07.913470,0 days 00:00:07.906661,0
0 days 00:00:07.921438,0 days 00:00:07.914228,0
0 days 00:00:07.928536,0 days 00:00:07.922084,0
0 days 00:00:07.936146,0 days 00:00:07.929335,0
0 days 00:00:07.943632,0 days 00:00:07.936825,0
0 days 00:00:07.951440,0 days 00:00:07.944386,0
0 days 00:00:07.958614,0 days 00:00:07.952032,0
0 days 00:00:07.966009,0 days 00:00:07.959328,0
0 days 00:00:07.973693,0 days 00:00:07.966685,0
0 days 00:00:07.980700,0 days 00:00:07.974284,0
0 days 00:00:07.989631,0 days 00:00:07.981686,0
0 days 00:00:07.996568,0 days 00:00:07.990227,0
0 days 00:00:08.005579,0 days 00:00:07.997458,0
0 days 00:00:08.012630,0 days 00:00:08.006193,0
0 days 00:00:08.020858,0 days 00:00:08.013694,0
0 days 00:00:08.027812,0 days 00:00:08.021509,0
0 days 00:00:08.035854,0 days 00:00:08.028622,0
0 days 00:00:08.042955,0 days 00:00:08.036495,0
0 days 00:00:08.051061,0 days 00:00:08.043836,0
0 days 00:00:08.058223,0 days 00:00:08.051681,0
0 days 00:00:08.066449,0 days 00:00:08.059152,0
0 days 00:00:08.073905,0 days 00:00:08.067139,0
0 days 00:00:08.081190,0 days 00:00:08.074571,0
0 days 00:00:08.090678,0 days 00:00:08.082299,0
0 days 00:00:08.119019,0 days 00:00:08.091747,0
0 days 00:00:08.137242,0 days 00:00:08.120085,0
0 days 00:00:08.146996,0 days 00:00:08.138076,0
0 days 00:00:08.157342,0 days 00:00:08.148301,0
0 days 00:00:08.167400,0 days 00:00:08.158393,0
0 days 00:00:08.175562,0 days 00:00:08.168228,0
0 days 00:00:08.184214,0 days 00:00:08.176884,0
0 days 00:00:08.191498,0 days 00:00:08.184892,0
0 days 00:00:08.199050,0 days 00:00:08.192162,0
0 days 00:00:08.207274,0 days 00:00:08.199842,0
0 days 00:00:08.214703,0 days 00:00:08.207945,0
0 days 00:00:08.222945,0 days 00:00:08.215452,0
0 days 00:00:08.229930,0 days 00:00:08.223525,0
0 days 00:00:08.238662,0 days 00:00:08.230808,0
0 days 00:00:08.246008,0 days 00:00:08.239297,0
0 days 00:00:08.254246,0 days 00:00:08.246767,0
0 days 00:00:08.261107,0 days 00:00:08.254841,0
0 days 00:00:08.269074,0 days 00:00:08.261949,0
0 days 00:00:08.275913,0 days 00:00:08.269654,0
0 days 00:00:08.283102,0 days 00:00:08.276570,0
0 days 00:00:08.290115,0 days 00:00:08.283671,0
0 days 00:00:08.297336,0 days 00:00:08.290682,0
0 days 00:00:08.304810,0 days 00:00:08.297975,0
0 days 00:00:08.311736,0 days 00:00:08.305358,0
0 days 00:00:08.319121,0 days 00:00:08.312346,0
0 days 00:00:08.326219,0 days 00:00:08.319725,0
0 days 00:00:08.333332,0 days 00:00:08.326829,0
0 days 00:00:08.340373,0 days 00:00:08.333904,0
0 days 00:00:08.347439,0 days 00:00:08.340965,0
0 days 00:00:08.354746,0 days 00:00:08.348048,0
0 days 00:00:08.361873,0 days 00:00:08.355361,0
0 days 00:00:08.369120,0 days 00:00:08.362473,0
0 days 00:00:08.376245,0 days 00:00:08.369715,0
0 days 00:00:08.383697,0 days 00:00:08.376928,0
0 days 00:00:08.390609,0 days 00:00:08.384251,0
0 days 00:00:08.397769,0 days 00:00:08.391229,0
0 days 00:00:08.405688,0 days 00:00:08.398545,0
0 days 00:00:08.412953,0 days 00:00:08.406344,0
0 days 00:00:08.420473,0 days 00:00:08.413655,0
0 days 00:00:08.427451,0 days 00:00:08.421132,0
0 days 00:00:08.434991,0 days 00:00:08.428159,0
0 days 00:00:08.443035,0 days 00:00:08.435649,0
0 days 00:00:08.450319,0 days 00:00:08.443715,0
0 days 00:00:08.457761,0 days 00:00:08.450987,0
0 days 00:00:08.464999,0 days 00:00:08.458405,0
0 days 00:00:08.472880,0 days 00:00:08.465759,0
0 days 00:00:08.479782,0 days 00:00:08.473519,0
0 days 00:00:08.487649,0 days 00:00:08.480475,0
0 days 00:00:08.494772,0 days 00:00:08.488279,0
0 days 00:00:08.502618,0 days 00:00:08.495530,0
0 days 00:00:08.509513,0 days 00:00:08.503219,0
0 days 00:00:08.516728,0 days 00:00:08.510174,0
0 days 00:00:08.523698,0 days 00:00:08.517364,0
0 days 00:00:08.530634,0 days 00:00:08.524297,0
0 days 00:00:08.538480,0 days 00:00:08.531432,0
0 days 00:00:08.545513,0 days 00:00:08.539115,0
0 days 00:00:08.553004,0 days 00:00:08.546229,0
0 days 00:00:08.559908,0 days 00:00:08.553580,0
0 days 00:00:08.567408,0 days 00:00:08.560613,0
0 days 00:00:08.574292,0 days 00:00:08.568024,0
0 days 00:00:08.581572,0 days 00:00:08.575036,0
0 days 00:00:08.589411,0 days 00:00:08.582362,0
0 days 00:00:08.596699,0 days 00:00:08.590079,0
0 days 00:00:08.605074,0 days 00:00:08.597529,0
0 days 00:00:08.612351,0 days 00:00:08.605722,0
0 days 00:00:08.620085,0 days 00:00:08.613081,0
0 days 00:00:08.627051,0 days 00:00:08.620709,0
0 days 00:00:08.634690,0 days 00:00:08.627851,0
0 days 00:00:08.641835,0 days 00:00:08.635297,0
0 days 00:00:08.649101,0 days 00:00:08.642534,0
0 days 00:00:08.656451,0 days 00:00:08.649932,0
0 days 00:00:08.663276,0 days 00:00:08.657013,0
0 days 00:00:08.671129,0 days 00:00:08.663939,0
0 days 00:00:08.678235,0 days 00:00:08.671772,0
0 days 00:00:08.685556,0 days 00:00:08.678967,0
0 days 00:00:08.692445,0 days 00:00:08.686191,0
0 days 00:00:08.700729,0 days 00:00:08.693386,0
0 days 00:00:08.711575,0 days 00:00:08.701632,0
0 days 00:00:08.722751,0 days 00:00:08.712530,0
0 days 00:00:08.732655,0 days 00:00:08.723776,0
0 days 00:00:08.740017,0 days 00:00:08.733370,0
0 days 00:00:08.746849,0 days 00:00:08.740624,0
0 days 00:00:08.754918,0 days 00:00:08.747634,0
0 days 00:00:08.762090,0 days 00:00:08.755522,0
0 days 00:00:08.769565,0 days 00:00:08.762834,0
0 days 00:00:08.776626,0 days 00:00:08.770196,0
0 days 00:00:08.784291,0 days 00:00:08.777438,0
0 days 00:00:08.791618,0 days 00:00:08.785031,0
0 days 00:00:08.798932,0 days 00:00:08.792277,0
0 days 00:00:08.806154,0 days 00:00:08.799652,0
0 days 00:00:08.813443,0 days 00:00:08.806798,0
0 days 00:00:08.821054,0 days 00:00:08.814159,0
0 days 00:00:08.828343,0 days 00:00:08.821744,0
0 days 00:00:08.837384,0 days 00:00:08.829494,0
0 days 00:00:08.845654,0 days 00:00:08.838095,0
0 days 00:00:08.853135,0 days 00:00:08.846340,0
0 days 00:00:08.860310,0 days 00:00:08.853728,0
0 days 00:00:08.867654,0 days 00:00:08.860962,0
0 days 00:00:08.874627,0 days 00:00:08.868311,0
0 days 00:00:08.881665,0 days 00:00:08.875210,0
0 days 00:00:08.889185,0 days 00:00:08.882408,0
0 days 00:00:08.896081,0 days 00:00:08.889789,0
0 days 00:00:08.903444,0 days 00:00:08.896799,0
0 days 00:00:08.910340,0 days 00:00:08.904012,0
0 days 00:00:08.917516,0 days 00:00:08.911072,0
0 days 00:00:08.924419,0 days 00:00:08.918101,0
0 days 00:00:08.931386,0 days 00:00:08.925044,0
0 days 00:00:08.939240,0 days 00:00:08.932204,0
0 days 00:00:08.946252,0 days 00:00:08.939835,0
0 days 00:00:08.954216,0 days 00:00:08.947073,0
0 days 00:00:08.961005,0 days 00:00:08.954876,0
0 days 00:00:08.968816,0 days 00:00:08.961741,0
0 days 00:00:08.975665,0 days 00:00:08.969426,0
0 days 00:00:08.983680,0 days 00:00:08.976539,0
0 days 00:00:08.991205,0 days 00:00:08.984414,0
0 days 00:00:08.998126,0 days 00:00:08.991831,0
0 days 00:00:09.006034,0 days 00:00:08.998912,0
0 days 00:00:09.012970,0 days 00:00:09.006628,0
0 days 00:00:09.020542,0 days 00:00:09.013727,0
0 days 00:00:09.027588,0 days 00:00:09.021184,0
0 days 00:00:09.035026,0 days 00:00:09.028330,0
0 days 00:00:09.042128,0 days 00:00:09.035675,0
0 days 00:00:09.049190,0 days 00:00:09.042767,0
0 days 00:00:09.056359,0 days 00:00:09.049864,0
0 days 00:00:09.063275,0 days 00:00:09.057031,0
0 days 00:00:09.071211,0 days 00:00:09.064109,0
0 days 00:00:09.078388,0 days 00:00:09.071877,0
0 days 00:00:09.086275,0 days 00:00:09.079260,0
0 days 00:00:09.093368,0 days 00:00:09.086894,0
0 days 00:00:09.102405,0 days 00:00:09.094348,0
0 days 00:00:09.109866,0 days 00:00:09.103112,0
0 days 00:00:09.117673,0 days 00:00:09.110618,0
0 days 00:00:09.124804,0 days 00:00:09.118293,0
0 days 00:00:09.133324,0 days 00:00:09.125741,0
0 days 00:00:09.140463,0 days 00:00:09.133983,0
0 days 00:00:09.149868,0 days 00:00:09.141600,0
0 days 00:00:09.157805,0 days 00:00:09.150657,0
0 days 00:00:09.165918,0 days 00:00:09.158567,0
0 days 00:00:09.173242,0 days 00:00:09.166623,0
0 days 00:00:09.180275,0 days 00:00:09.173839,0
0 days 00:00:09.189080,0 days 00:00:09.181063,0
0 days 00:00:09.196628,0 days 00:00:09.189780,0
0 days 00:00:09.205065,0 days 00:00:09.197494,0
0 days 00:00:09.212167,0 days 00:00:09.205718,0
0 days 00:00:09.219929,0 days 00:00:09.212962,0
0 days 00:00:09.227155,0 days 00:00:09.220570,0
0 days 00:00:09.234895,0 days 00:00:09.227935,0
0 days 00:00:09.242095,0 days 00:00:09.235551,0
0 days 00:00:09.249538,0 days 00:00:09.242802,0
0 days 00:00:09.257163,0 days 00:00:09.250244,0
0 days 00:00:09.264283,0 days 00:00:09.257794,0
0 days 00:00:09.273504,0 days 00:00:09.265279,0
0 days 00:00:09.283845,0 days 00:00:09.274700,0
0 days 00:00:09.291411,0 days 00:00:09.284571,0
0 days 00:00:09.298893,0 days 00:00:09.292120,0
